Judge_Model,Curve_Type,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
qwen3:14b-fp16,Curve_5,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_5,EM,4.037,4.1528,4.3055,4.0952
mistral:7b-instruct-v0.3-fp16,Curve_5,EM,4.0185,4.0,4.125,4.0
qwen3:14b-fp16,Curve_5,EM,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_5,SU,3.0,3.0,3.0,3.0952
mistral:7b-instruct-v0.3-fp16,Curve_5,SU,3.3558,3.4424,3.4861,3.5318
qwen3:14b-fp16,Curve_5,SU,3.0939,3.0,3.0093,2.9921
gemma3:12b-it-fp16,Curve_5,EG,4.5159,4.6151,4.7315,4.6826
mistral:7b-instruct-v0.3-fp16,Curve_5,EG,4.0847,4.248,4.3102,4.3254
qwen3:14b-fp16,Curve_5,EG,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_5,CX,4.0,4.0,4.0,3.9921
mistral:7b-instruct-v0.3-fp16,Curve_5,CX,3.9352,4.0,4.0,4.0
qwen3:14b-fp16,Curve_5,CX,3.9167,4.1111,3.8889,4.0
gemma3:12b-it-fp16,Curve_5,OV,4.2588,4.2946,4.3256,4.3109
mistral:7b-instruct-v0.3-fp16,Curve_5,OV,4.1241,4.2058,4.2451,4.2532
qwen3:14b-fp16,Curve_5,OV,4.5018,4.5185,4.483,4.4987
gemma3:12b-it-fp16,Curve_5,Count,20.0,18.0,19.0,16.0
mistral:7b-instruct-v0.3-fp16,Curve_5,Count,20.0,18.0,19.0,16.0
qwen3:14b-fp16,Curve_5,Count,20.0,18.0,19.0,16.0
gemma3:12b-it-fp16,Curve_6,RE,4.9074,4.8889,4.8889,4.963
mistral:7b-instruct-v0.3-fp16,Curve_6,RE,4.2963,4.3056,4.4074,4.4644
qwen3:14b-fp16,Curve_6,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_6,CH,4.963,4.8519,4.8519,4.8633
mistral:7b-instruct-v0.3-fp16,Curve_6,CH,4.5185,4.7222,4.713,4.5741
qwen3:14b-fp16,Curve_6,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_6,EM,4.1296,4.3704,4.5,4.2478
mistral:7b-instruct-v0.3-fp16,Curve_6,EM,4.0371,4.0278,4.1667,4.0627
qwen3:14b-fp16,Curve_6,EM,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_6,SU,3.0,3.0185,3.0556,3.037
mistral:7b-instruct-v0.3-fp16,Curve_6,SU,3.3333,3.2222,3.4352,3.2892
qwen3:14b-fp16,Curve_6,SU,3.2037,2.9444,2.9259,2.7749
gemma3:12b-it-fp16,Curve_6,EG,4.2407,4.2593,4.4259,4.2507
mistral:7b-instruct-v0.3-fp16,Curve_6,EG,4.0741,4.1389,4.2593,4.2322
qwen3:14b-fp16,Curve_6,EG,5.0,5.0,4.963,4.9744
gemma3:12b-it-fp16,Curve_6,CX,3.9815,4.0,4.037,4.0256
mistral:7b-instruct-v0.3-fp16,Curve_6,CX,4.0556,4.0556,4.0648,3.9815
qwen3:14b-fp16,Curve_6,CX,4.0741,4.1482,4.037,3.9117
gemma3:12b-it-fp16,Curve_6,OV,4.2037,4.2315,4.2932,4.2313
mistral:7b-instruct-v0.3-fp16,Curve_6,OV,4.1136,4.1139,4.2028,4.1464
qwen3:14b-fp16,Curve_6,OV,4.5463,4.5154,4.4876,4.4435
gemma3:12b-it-fp16,Curve_6,Count,24.0,21.0,24.0,31.0
mistral:7b-instruct-v0.3-fp16,Curve_6,Count,24.0,21.0,24.0,31.0
qwen3:14b-fp16,Curve_6,Count,24.0,21.0,24.0,31.0
""
"--- METRIC DEFINITIONS ---"
"RE(Relevance), CH(Coherence), EM(Empathy), SU(Surprise), EG(Engagement), CX(Complexity), OV(Overall)"
"Count(the total number of successfully evaluated story routes)"
